,PLAYER,G,MPG,PTS,FGA,FG%,FTA,FT%,3PM,REB,AST,STL,BLK,TO
20,LeBron James,69,34.4,24.7,17.84,0.52,4.94,0.79,2.24,7.25,7.37,1.05,0.55,3.43
21,Chet Holmgren,68,29.5,16.6,11.36,0.51,4.42,0.77,1.65,8.39,2.49,0.79,2.27,1.82
22,Trey Murphy III,61,34.4,21.4,15.57,0.46,4.47,0.88,3.28,5.02,4.21,1.08,0.64,1.91
23,Derrick White,63,35.1,19.0,14.57,0.43,3.4,0.86,3.65,5.0,6.25,1.17,1.06,2.45
24,Domantas Sabonis,74,35.4,18.5,12.51,0.58,3.77,0.75,1.06,14.17,6.28,0.73,0.28,2.92
25,Lauri Markkanen,66,32.4,22.1,15.61,0.46,4.8,0.89,3.33,7.16,1.82,0.74,0.49,1.44
26,Josh Giddey,75,34.1,19.0,13.82,0.48,5.14,0.79,1.68,9.19,9.07,1.26,0.63,3.55
27,Jamal Murray,66,34.5,21.7,16.83,0.48,3.69,0.88,2.42,3.8,6.1,1.25,0.44,2.25
28,Jalen Johnson,61,35.6,18.7,14.9,0.51,3.3,0.75,1.16,9.62,5.24,1.52,0.96,2.84
29,Ivica Zubac,74,31.3,16.7,11.54,0.63,2.98,0.7,0.0,12.04,2.54,0.56,1.16,1.37
30,Jaren Jackson Jr.,67,30.6,22.8,16.82,0.48,5.73,0.79,2.18,5.76,2.24,1.2,1.54,2.34
31,Tyler Herro,67,34.4,23.6,17.33,0.48,4.32,0.87,3.25,4.73,5.33,1.06,0.24,2.82
32,Trae Young,72,35.1,24.7,17.6,0.42,7.7,0.87,3.11,2.86,11.44,1.21,0.08,4.5
33,Kristaps Porziņģis,51,27.0,19.4,13.82,0.46,5.25,0.82,2.3,7.04,1.94,0.71,1.47,1.28
34,Dyson Daniels,72,33.1,14.0,11.6,0.52,1.5,0.64,0.92,5.65,4.7,2.8,0.7,2.3
35,Austin Reaves,75,35.5,21.3,14.55,0.47,5.5,0.87,2.85,4.2,5.21,1.05,0.33,2.41
36,Mark Williams,52,27.5,16.4,10.99,0.6,3.92,0.78,0.02,10.93,2.51,0.84,1.21,2.15
37,Michael Porter Jr.,65,34.0,22.1,16.6,0.48,3.6,0.83,3.15,8.4,2.7,0.6,0.62,1.8
38,Coby White,74,32.7,22.4,15.6,0.47,5.28,0.9,3.08,3.98,4.34,0.88,0.21,2.4
39,Myles Turner,74,31.5,16.7,12.09,0.48,3.58,0.77,2.49,6.38,1.73,0.84,2.09,1.94
40,Franz Wagner,74,34.3,22.5,17.48,0.47,4.54,0.87,1.98,5.89,4.17,1.22,0.37,2.21
41,Nikola Vučević,72,29.6,16.8,13.63,0.51,1.61,0.81,1.62,9.93,3.6,0.83,0.71,1.6
42,Jalen Brunson,69,34.4,25.3,17.67,0.49,6.75,0.83,2.3,2.82,6.81,0.86,0.15,2.53
